prime_key,dataset_id,as_of_date,company_name,followers_count,employees_on_platform,link,industry,date_added,date_update,description,website,entity_id,cusip,isin
1,58329,2015-09-14,"Goldman Sachs",552254,38124,https://www.linkedin.com/company/1382,"Investment Banking","2015-09-14 00:00:00+00","2015-09-14 00:00:00+00",,,,,
3,58363,2015-09-16,"United Technologies",59157,14982,https://www.linkedin.com/company/2426,"Aviation & Aerospace","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
4,58366,2015-09-16,"Novo Nordisk",336175,26448,https://www.linkedin.com/company/2227,Pharmaceuticals,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
5,58371,2015-09-16,"Lowe's Companies Inc.",134255,62574,https://www.linkedin.com/company/4128,Retail,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
6,58382,2015-09-16,"UnitedHealth Group",221288,77108,https://www.linkedin.com/company/1720,"Hospital & Health Care","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
7,58400,2015-09-16,McKesson,128090,17520,https://www.linkedin.com/company/1900,"Hospital & Health Care","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
8,58433,2015-09-16,BBVA,109420,40933,https://www.linkedin.com/company/4860,Banking,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
9,58434,2015-09-16,IBM,2542182,414139,https://www.linkedin.com/company/1009,"Information Technology and Services","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
10,58401,2015-09-16,MasterCard,147619,9658,https://www.linkedin.com/company/3015,"Information Technology and Services","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
11,58435,2015-09-16,Sanofi,557299,73499,https://www.linkedin.com/company/1642,Pharmaceuticals,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
12,58436,2015-09-16,Novartis,731936,89478,https://www.linkedin.com/company/1406,Pharmaceuticals,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
13,58383,2015-09-16,Cisco,1049264,78948,https://www.linkedin.com/company/1063,"Computer Networking","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
14,58402,2015-09-16,GE,1017650,176829,https://www.linkedin.com/company/1015,"Electrical/Electronic Manufacturing","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
15,58437,2015-09-16,RBC,179389,56844,https://www.linkedin.com/company/1808,Banking,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
16,58438,2015-09-16,Priceline.com,15595,761,https://www.linkedin.com/company/7451,Internet,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
17,58403,2015-09-16,"Philip Morris International",183040,19151,https://www.linkedin.com/company/1912,Tobacco,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
18,58439,2015-09-16,"Intel Corporation",635955,102065,https://www.linkedin.com/company/1053,Semiconductors,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
19,58440,2015-09-16,ConocoPhillips,420033,18919,https://www.linkedin.com/company/3600,"Oil & Energy","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
20,58372,2015-09-16,"TJ Maxx",14914,7021,https://www.linkedin.com/company/5122,Retail,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
21,58384,2015-09-16,"Ford Motor Company",665022,82220,https://www.linkedin.com/company/1483,Automotive,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
22,58404,2015-09-16,"The Walt Disney Company",683257,80559,https://www.linkedin.com/company/1292,Entertainment,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
23,58441,2015-09-16,"Procter & Gamble",1339929,71045,https://www.linkedin.com/company/1116,"Consumer Goods","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
24,58442,2015-09-16,"BHP Billiton",201661,21021,https://www.linkedin.com/company/4509,"Mining & Metals","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
25,58405,2015-09-16,"McDonald's Corporation",244392,84554,https://www.linkedin.com/company/2677,Restaurants,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
26,58443,2015-09-16,Amazon,1311936,84671,https://www.linkedin.com/company/1586,Internet,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
27,58444,2015-09-16,"Banco Santander",290743,70869,https://www.linkedin.com/company/2873,Banking,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
28,58386,2015-09-16,"The Dow Chemical Company",220191,27650,https://www.linkedin.com/company/2562,Chemicals,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
29,58406,2015-09-16,Apple,2587280,103924,https://www.linkedin.com/company/162479,"Consumer Electronics","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
30,58445,2015-09-16,TOTAL,620977,34275,https://www.linkedin.com/company/1818,"Oil & Energy","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
31,58446,2015-09-16,HSBC,725045,138800,https://www.linkedin.com/company/1241,"Financial Services","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
32,58407,2015-09-16,3M,486434,42145,https://www.linkedin.com/company/1864,"Mechanical or Industrial Engineering","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
33,58447,2015-09-16,"Simon Property Group",28176,3024,https://www.linkedin.com/company/165978,"Real Estate","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
34,58448,2015-09-16,Google,3615989,67682,https://www.linkedin.com/company/1441,Internet,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
35,58367,2015-09-16,Honeywell,472900,83058,https://www.linkedin.com/company/1344,"Electrical/Electronic Manufacturing","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
36,58373,2015-09-16,"Toyota Motor Corporation",284390,21441,https://www.linkedin.com/company/2109,Automotive,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
37,58387,2015-09-16,Visa,204284,8154,https://www.linkedin.com/company/2190,"Information Technology and Services","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
38,58408,2015-09-16,Walmart,600109,229631,https://www.linkedin.com/company/2646,Retail,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
39,58449,2015-09-16,"Texas Instruments",159939,21096,https://www.linkedin.com/company/1397,Semiconductors,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
40,58451,2015-09-16,"Duke Energy Corporation",80805,16232,https://www.linkedin.com/company/4066,Utilities,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
41,58409,2015-09-16,Biogen,82788,6482,https://www.linkedin.com/company/3961,Biotechnology,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
42,58452,2015-09-16,Chevron,993927,53695,https://www.linkedin.com/company/2192,"Oil & Energy","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
43,58453,2015-09-16,Hewlett-Packard,2129199,275382,https://www.linkedin.com/company/1025,"Information Technology and Services","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
44,58388,2015-09-16,"Eli Lilly and Company",312081,34059,https://www.linkedin.com/company/1663,Pharmaceuticals,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
45,58410,2015-09-16,Oracle,1556764,140461,https://www.linkedin.com/company/1028,"Information Technology and Services","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
46,58454,2015-09-16,"Teva Pharmaceuticals",135942,20699,https://www.linkedin.com/company/5239,Pharmaceuticals,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
47,58455,2015-09-16,"Morgan Stanley",392192,60840,https://www.linkedin.com/company/497017,"Financial Services","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
48,58411,2015-09-16,Ambev,236410,12582,https://www.linkedin.com/company/162402,"Food & Beverages","2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
49,58456,2015-09-16,"U.S. Bank",105109,37803,https://www.linkedin.com/company/2532,Banking,"2015-09-16 00:00:00+00","2015-09-16 00:00:00+00",,,,,
